id,name,album,album_id,artists,explicit,danceability,duration_ms,release_date,album_year
3xPgY6tC96UkG2XKtlArZG,Sonata seconda,Anno 1630,7joLjq9JhqKDjbTgCCchXs,"Giovanni Battista Fontana, Enrico Onofri, Margret Köll, Lorenzo Ghielmi",False,0.27,363573,2015-05-01,2015
1QtB3Tt6mjBDQsb1BdtmaW,(Intro) Engineering a Pill Frenzy,Frozen Corpse Stuffed With Dope,4Bxxb3P1HUStpnFukKfdUS,Agoraphobic Nosebleed,True,0.0,12160,2002-06-11,2002
6St0YK7vlm9zOHtqekmQmt,Life Flash,Get You Some Of Me,6o0evgGEjig8ZApTRQulrR,Dash Rip Tock,False,0.504,226627,1995-08-01,1995
6epN78EcmZlkvkTNDhddno,Kahar,Ishati,0OYQAS2LciL0ce0yt7TlCP,Rajna,False,0.429,191813,2001-05-14,2001
3Pv7HgLjxppcUcegp6NZg1,A Better Life,Right On Time,7lVC7C5DTzWQeJ56n7OqzQ,The Brought Low,False,0.366,325893,2006-07-27,2006
3DUEadPZjnWK0pmPUcAQQT,Really Vague and Insulting,How to Kill a Dead Franchise,4WFOPW81r3PyxXUDFZI94R,Plasticbag Facemask,False,0.2,119326,2018-05-13,2018
4aAcZdZ50jc16YKT8MLKRE,Wenn ein Mensch lebt - Live,Nur das Beste,71WmK2ZHmQkPYpwNMz3Hsq,Puhdys,False,0.555,209733,2005-08-01,2005
4Y8LkRexkLwrllY6nB5UiO,Corrupted,The Great Plan Vol. II,4rzbY2OBmQsQ9QcjNaoKFq,Amanda Abizaid,False,0.474,215480,2005-10-14,2005
13rzfdeh5RKHNvv7oPNujl,Wombhead,Behind Bars,49C76E3pku94SsIpzmeQAl,Syphilic,True,0.515,275800,2010-04-08,2010
7HN2xDC4wzOUxRahHlI36m,Plug Life,Plug Life,6HPIhsmxr5EBzNlcP107Sj,J360,True,0.932,223086,2019-09-15,2019
3iTPG1mmo9SfuckTpK2kt5,Me Parece Mentira,Genesis,5LUzPARzP45ghQwdweTrJN,Silica Gel,False,0.633,253280,2006-07-14,2006
1MuMEzrxDx7exX3Ba7egIK,Kamyk,Wu-wei,6IT76aWdUFYQGSKWlTFz9R,"Banach, Gutek",False,0.8690000000000001,218720,2005-01-01,2005
5Tw4zdzd1ONNaCYvGvi1ud,The Pussycat Song,Pussycat,3cuRFwKepdmVvCi4Pa1V7K,Asylum Street Spankers,False,0.7070000000000001,189453,2009-01-27,2009
6ZykcjjOnlorIb0U0QKl0s,Dance Hall Music,Drinking From Puddles: A Radio History,5m5eRn0zAUKf4Kbcza2J5g,The Murder City Devils,False,0.396,88587,1999-03-23,1999
6sq2s84JQiGQqhAu8nJPWJ,Born In The U.S.A.,The Bridge School Concerts 25th Anniversary Edition,48uNfLqdw5qyxMFZy41WlK,Bruce Springsteen,False,0.439,220800,2011-10-21,2011
7CC5pz456Y8knhKfbxr48T,Chant du réveil rural,75 ans 75 chansons,2pzN0PKLLEEF1HhzMV0sIV,Jules Jacob,False,0.449,172560,2011-11-01,2011
4XO0c2DlhbTBAOTuxLocTY,No Sleep,No Sleep / Hyperventilate,2WavJsMmCl7fPcsm0Bg4mu,"Tails, Beach Season",False,0.637,162685,2019-11-08,2019
3OUTFst6rrJXRs1iEXg194,In Your Room,VSQ Performs Depeche Mode,5G1JnAfoqwp4zsmUsa5ZFw,Vitamin String Quartet,False,0.204,278000,2003-11-25,2003
0L3Zc6yD4Z6CBoXeQTATwu,Fruitcakes - Live,"Buffett Live: Tuesdays, Thursdays, Saturdays",4lotEIzou9mWRk5kdwz76q,Jimmy Buffett,False,0.5329999999999999,416893,1999-11-09,1999
5Hv8naewdqDFKaWVQ3Chg7,Intro,2005,1Nux8B69WySS5XMMprdgL3,SFDK,False,0.519,43680,2005-03-18,2005
3VVyLteHZ5xmQrdlltkT89,Boats & Birds,The Boats&birds - EP,1VraOTKXjpANdITzZcVXrH,Gregory and the Hawk,False,0.71,174027,2006-01-01,2006
0lnGaCGMdOnzcmLm98HG4r,Me-Too-Modula,"Model 3, Step 2",5nZHrKvejY7vkRpN75sJn0,Microstoria,False,0.368,288133,2000-11-07,2000
6M3Om8NVI7HMsmavbMmVyw,get to you,(self-titled LP),14uLzR3qJK2O51VlYqL9RO,Central Services,False,0.359,205160,2006-08-23,2006
4a6BnJzs4HRYPMkAh65yW1,Aquatic Ambience,Year 2 Remastered,4GEb5R6WoI3OeFV6VPkGWa,insaneintherainmusic,False,0.517,252000,2016-01-16,2016
3UGIOxrNSq1zW4NsAAt6bx,Southern State of Mind,South of Stephen,2GIsd8TgGSf2ToGa1MyHoW,Stephen Kellogg,False,0.603,222560,2000-01-01,2000
3Ewvvp7yKdDpCe9UPueYjQ,Sleep in Late,Big Sugar,2Dd1uAxrjRBod8GXK6ZN9G,Big Sugar,False,0.578,201493,1992-06-01,1992
6r4bhvaZqkiWgRDFCpYr2M,Blond - Radio Edit,Nur das Beste,4vypPGHaw8GDCc4UuKiDJ1,Rainhard Fendrich,False,0.674,227467,2006-03-24,2006
1lpbWAQJ0nnuGRGXA72rAS,Horn 1,Three Horns,7JxGQgY97hmksPg2eOolvQ,Jordan Dykstra,False,0.163,244076,2015-05-13,2015
1FiaoH1PiySu4UGfUndfUK,Plane That Draws a White Line,Plane That Draws a White Line,345wkSaQFTJi4uXiAGdS3u,"Alias, Tarsier",False,0.371,240293,2006-09-19,2006
7CH42RIXcILx5mkuM88hhJ,Reflections,Improvisations From the Other Side,1hcnW2Pc1XUPG10JHP4EMf,Diane Willis and John Fish,False,0.352,388787,2003-01-01,2003
2e29nSa8MKr8WDVdEW6II1,Tommy Coen's Memories / Callaghan's (Reels),Close To Home,1ebg2rTFc3EQ02iJM7znBY,Donal Clancy,False,0.622,139120,2006-09-26,2006
0sJya7hSCReCmpUVu6Ob3C,Whistle In The Mental Institute (First Reflection),Instinct,3eflPcRIhGiPcDuqnGlIx1,Phantom Vision,False,0.311,122747,2006-02-15,2006
15mJIsjLJ3SaBBjZ3uywKi,Sheffield Youth,Workmanship,4XMhiaORclgRssGQCu9KOg,Joy Electric,False,0.73,187360,2007-01-01,2007
1o8MRS1zWzZPuspL59hI33,Intro,Thank You For Using GTL,6lF4KtV8umj69N06QxdlUc,"Drakeo the Ruler, JoogSzn",True,0.6709999999999999,45600,2020-06-05,2020
59crwrNk9xnaPaudtTMa0H,"Am Tag, als Conny Kramer starb",Nur das Beste,21PLiLnJwpFtZaetuDjusP,Juliane Werding,False,0.552,206333,2003-08-06,2003
3AddvN1CYHfnFqKBMm0H9C,Leuchtturm,Triola Im Fünftonraum,3VN0vBcFKBhSuLQ8BVeyxc,Triola,False,0.152,268467,2005-02-21,2005
3Bm1vbiWokADZHYY3464R3,Take It Too The Maxx,Hello Stranger,29Rw3TbxUizcoRhJnRkDnz,Hello Stranger,False,0.48,237907,2006-08-08,2006
3Azjg7prMKr4EW7rLTnoMj,Up On Crutches,Everybody,2uZiFnEDf8UxRBZUZaySgp,The Sea and Cake,False,0.55,216133,2007-05-08,2007
3OAASUEMbbmptqXytg0k23,Love Vs Distance,Things Keep Falling Down,2rbt3OQPYB6OQw4Pe6gj5s,The Field,False,0.617,700133,2005-03-14,2005
5WUMKPc0WBAACyBRTd7P2T,Wordy,Love and Other Solutions,0gJdPUpUyJLesHo2Y8KI2m,Antonelli,False,0.562,275293,2002-10-25,2002
0YT7wzTMr1WCLKLXJ5lGMo,Die Gottin der Vernunft: Overture,Strauss II: Die Göttin der Vernunft,3KuWETC03HXloZQadnEgfZ,"Johann Strauss II, Veronika Groiss, Manfred Equiluz, Kirlianit Cortes, Franz Fodinger, Isabella Ma-Zach, Wolfgang Veith, Eva-Maria Kumpfmuller, Andreas Mittermeier, Nicolas Legoux, Vienna Private University Conservatory Students, Slovak Sinfonietta, Zilina, Christian Pollack",False,0.326,358693,2011-05-03,2011
53gTGsZ35tonbBPZLOJMjC,Inuit Wedding,Introducing New Details,5AIiBifd2bkpxXtgoWZNb2,Pawa Up First,False,0.672,407000,2007-04-03,2007
7pl0PA2SJbafNjknYqR2hw,"Symphony No. 1 in C Major, Op. 21: I. Adagio molto - Allegro con brio (Live)",Beethoven: Symphonies Nos. 1-9 (Live),5YdwbsUcX8nY12ddZLKLN0,"Ludwig van Beethoven, Malmö Symphony Orchestra, Robert Trevino",False,0.317,537160,2020-06-05,2020
1NDVVbYj6YWkPbW5OpnCV4,The Unanswered Question,Music for a Time of War,7mGjgmyAjtKc8Sc3A7IQzs,"Charles Ives, Oregon Symphony, Carlos Kalmar",False,0.1689999999999999,341893,2011-10-04,2011
3bFlSf8aGoLegRtdISIHv3,Life Without The Cow,Act Your Age,4CAEwOBNG96LZ7MJRiJYmN,The Kids of Widney High,False,0.51,228693,2004-02-10,2004
3c7IzA9guoQQTeciBaCzAF,Silueta De Cristal,30 Anos De Exitos,0jHdI5wc8aCPFlV1lNHWn0,Los Brios,False,0.585,221067,2003-11-04,2003
1T4Yy0PGSSY3R99ooTqBF6,Liverpool (Where Do I Go),The English Diaries,06WJliu5M4cLxxdGuGEAOl,Alyssa Bonagura,False,0.55,262845,2010-05-12,2010
1QhipDJAC1VmxxGpUB7zsP,Ballad Of El Leo Nora,The Sonic Temple,5tSy0YGe2yMt3AHhvHn3kJ,Jerry Granelli V16,False,0.173,452284,2007-05-08,2007
1IYYOEWIAsr4XBMoUpl4s0,Handbook for the Sellout,Our Newest Album Ever!,38G4pKEOqzHWqX4TmWUmKy,Five Iron Frenzy,False,0.638,208160,1998-11-03,1998
